title,link,published,sentiment_score
microsoft corp msft rallied in q driven by azure growth,https://finance.yahoo.com/news/microsoft-corp-msft-rallied-q2-124846894.html?.tsrc=rss,"Mon, 22 Sep 2025 12:48:46 +0000",-1
apple stock has been struggling how the iphone could spark a rebound,https://finance.yahoo.com/m/1f3a3606-1178-3f20-97ad-ede648426aa7/apple-stock-has-been.html?.tsrc=rss,"Mon, 22 Sep 2025 12:26:00 +0000",-1
nvidia is one of stocks analysts insist are screaming buys now,https://finance.yahoo.com/m/15f1b3ad-7477-3c63-880e-a0ce19f8dde3/nvidia-is-one-of-10-stocks.html?.tsrc=rss,"Mon, 22 Sep 2025 12:00:01 +0000",-1
these tech stocks are already falling amid hb immigration visa chaos why it matters,https://finance.yahoo.com/m/167ed962-2eac-38a9-b7ba-21d11c365334/these-tech-stocks-are-already.html?.tsrc=rss,"Mon, 22 Sep 2025 11:55:00 +0000",-1
trump tiktok immigration visas are a distraction for markets what really matters for stocks,https://finance.yahoo.com/m/4929222e-6729-3fe1-92fe-577ec70f99fe/trump%2C-tiktok%2C-immigration.html?.tsrc=rss,"Mon, 22 Sep 2025 10:43:00 +0000",-1
how investors may respond to entra obentra board changes requested by castellum,https://finance.yahoo.com/news/investors-may-respond-entra-ob-103008968.html?.tsrc=rss,"Mon, 22 Sep 2025 10:30:08 +0000",1
did gileads gild billion ai bet just transform its innovation and global health narrative,https://finance.yahoo.com/news/did-gileads-gild-32-billion-102747481.html?.tsrc=rss,"Mon, 22 Sep 2025 10:27:47 +0000",1
wall st set for lower open after rally trumps visa crackdown weighs,https://ca.finance.yahoo.com/news/us-futures-inch-lower-rally-101456707.html?.tsrc=rss,"Mon, 22 Sep 2025 10:14:56 +0000",-1
atmosclear selects exxonmobil for co transportation and storage,https://finance.yahoo.com/news/atmosclear-selects-exxonmobil-co-transportation-100100969.html?.tsrc=rss,"Mon, 22 Sep 2025 10:01:00 +0000",-1
could investing in nebius stock make you a millionaire,https://www.fool.com/investing/2025/09/22/could-investing-10000-in-nebius-stock-make-you-a-m/?.tsrc=rss,"Mon, 22 Sep 2025 09:45:00 +0000",-1
microsoft and amazon will benefit most from the uks billion ai infrastructure push,https://www.fool.com/investing/2025/09/22/microsoft-amazon-benefit-most-from-uk-ai/?.tsrc=rss,"Mon, 22 Sep 2025 08:30:00 +0000",1
us tech shares fall as trump slaps steep new fees on hb visas,https://ca.finance.yahoo.com/news/big-tech-shares-steady-trump-063324991.html?.tsrc=rss,"Mon, 22 Sep 2025 06:33:24 +0000",-1
big tech stocks hold steady after trump visa fees crackdown,https://finance.yahoo.com/news/big-tech-shares-steady-trump-063324397.html?.tsrc=rss,"Mon, 22 Sep 2025 06:33:24 +0000",1
sp stock with solid fundamentals and we avoid,https://finance.yahoo.com/news/1-p-500-stock-solid-043542627.html?.tsrc=rss,"Mon, 22 Sep 2025 04:35:42 +0000",-1
reasons the new tech bubble is only getting started,https://finance.yahoo.com/m/9e26c253-819c-3da5-a8c6-e1bf97cb8530/5-reasons-the-new-tech-bubble.html?.tsrc=rss,"Mon, 22 Sep 2025 04:01:00 +0000",-1
stock market today dow sp nasdaq futures pull back from records as gold powers to fresh high,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-pull-back-from-records-as-gold-powers-to-fresh-high-234423457.html?.tsrc=rss,"Sun, 21 Sep 2025 23:44:23 +0000",-1
trumps hb visa fee sets off scramble across corporate america,https://finance.yahoo.com/m/2ad93121-93f2-3ed8-929f-cb94f33ed55f/trump%E2%80%99s-%24100%2C000-h-1b-visa.html?.tsrc=rss,"Sun, 21 Sep 2025 20:00:00 +0000",-1
amazon google microsoft reportedly warn hb employees to stay in the us,https://finance.yahoo.com/news/amazon-google-microsoft-reportedly-warn-190144778.html?.tsrc=rss,"Sun, 21 Sep 2025 14:09:00 +0000",-1
is having a position in the entire stock market a better option than investing in the sp,https://www.fool.com/investing/2025/09/21/is-having-a-position-in-the-entire-stock-market-a/?.tsrc=rss,"Sun, 21 Sep 2025 13:45:00 +0000",1
companies rush to issue emergency guidance after trump launches hb visa fee,https://finance.yahoo.com/news/companies-rush-issue-emergency-guidance-115837502.html?.tsrc=rss,"Sun, 21 Sep 2025 11:58:37 +0000",-1
