title,link,published,sentiment_score
stock market today dow falls ahead of inflation data apple tesla up on target hikes live coverage,https://finance.yahoo.com/m/296bfec4-debf-3635-a8f4-e936a36cf1b0/stock-market-today%3A-dow-falls.html?.tsrc=rss,"Mon, 22 Sep 2025 12:59:01 +0000",-1
tesla stock rises on another price target hike record highs are in sight,https://finance.yahoo.com/m/2f36145a-c051-3e2c-b192-f6a30c727062/tesla-stock-rises-on-another.html?.tsrc=rss,"Mon, 22 Sep 2025 12:42:00 +0000",-1
tesla stock has soared this month heres why this analyst sees shares hitting record highs,https://finance.yahoo.com/m/460d6168-5fe9-3648-817e-fb77bcec0d4c/tesla-stock-has-soared-28%25.html?.tsrc=rss,"Mon, 22 Sep 2025 12:16:12 +0000",1
warren buffett dumps stake in chinese tesla rival amid bn exodus,https://uk.finance.yahoo.com/news/warren-buffett-dumps-stake-chinese-113905346.html?.tsrc=rss,"Mon, 22 Sep 2025 11:39:05 +0000",-1
these stocks are moving the most today fox coinbase metsera pfizer kenvue anywhere real estate premier and more,https://finance.yahoo.com/m/aa1c2c35-1de6-36f2-af0d-6ce788575c55/these-stocks-are-moving-the.html?.tsrc=rss,"Mon, 22 Sep 2025 11:26:00 +0000",1
electric vehicles update global market growth driven by sustainable mobility solutions,https://finance.yahoo.com/news/electric-vehicles-global-market-growth-103943935.html?.tsrc=rss,"Mon, 22 Sep 2025 10:39:43 +0000",1
what recent developments mean for teslas growth story and analyst valuation outlook,https://finance.yahoo.com/news/recent-developments-mean-teslas-growth-102501544.html?.tsrc=rss,"Mon, 22 Sep 2025 10:25:01 +0000",1
is now the right moment for byd after a stock drop,https://finance.yahoo.com/news/now-moment-byd-30-stock-102435569.html?.tsrc=rss,"Mon, 22 Sep 2025 10:24:35 +0000",1
musks robotaxi plans for san francisco alarmed confused regulators emails show,https://finance.yahoo.com/news/musks-robotaxi-plans-san-francisco-100623469.html?.tsrc=rss,"Mon, 22 Sep 2025 10:06:23 +0000",-1
tesla stock continues to climb this catalyst makes its growth path sustainable,https://www.fool.com/investing/2025/09/22/industrials-hot-ticker-stock-continues-to-climb-bu/?.tsrc=rss,"Mon, 22 Sep 2025 07:34:00 +0000",1
big tech stocks hold steady after trump visa fees crackdown,https://finance.yahoo.com/news/big-tech-shares-steady-trump-063324397.html?.tsrc=rss,"Mon, 22 Sep 2025 06:33:24 +0000",1
warren buffetts berkshire hathaway exits chinas byd filing shows,https://finance.yahoo.com/news/warren-buffett-berkshire-hathaway-exits-044746726.html?.tsrc=rss,"Mon, 22 Sep 2025 04:47:46 +0000",-1
the us is forfeiting the cleanenergy race to china,https://finance.yahoo.com/m/b1e943a0-7a30-36f7-ac38-43e34d3ccb41/the-u.s.-is-forfeiting-the.html?.tsrc=rss,"Mon, 22 Sep 2025 03:00:00 +0000",-1
my top growth stock to buy for and its not even close,https://www.fool.com/investing/2025/09/21/my-top-growth-stock-to-buy-for-year-and-its-not-ev/?.tsrc=rss,"Sun, 21 Sep 2025 23:08:00 +0000",-1
ways tesla stock could surprise everyone and soar even higher,https://www.fool.com/investing/2025/09/21/3-ways-tesla-stock-could-surprise-everyone-and-soa/?.tsrc=rss,"Sun, 21 Sep 2025 22:20:00 +0000",1
what is one of the best ev stocks to buy right now,https://www.fool.com/investing/2025/09/21/what-is-one-of-the-best-ev-stocks-to-buy-right-now/?.tsrc=rss,"Sun, 21 Sep 2025 17:21:00 +0000",1
ways tsmc makes its money,https://www.fool.com/investing/2025/09/21/4-ways-tsmc-makes-its-money/?.tsrc=rss,"Sun, 21 Sep 2025 17:07:00 +0000",1
reason to be very very excited about rivian stock right now,https://www.fool.com/investing/2025/09/21/1-reason-to-be-very-very-excited-about-rivian/?.tsrc=rss,"Sun, 21 Sep 2025 13:00:00 +0000",1
trumps desire to end quarterly earnings should include these things too,https://finance.yahoo.com/news/trumps-desire-to-end-quarterly-earnings-should-include-these-3-things-too-123053505.html?.tsrc=rss,"Sun, 21 Sep 2025 12:30:53 +0000",-1
big analyst ai moves tesla lifted on physical ai prospect intel downgraded,https://finance.yahoo.com/news/5-big-analyst-ai-moves-103008795.html?.tsrc=rss,"Sun, 21 Sep 2025 10:30:08 +0000",-1
