title,link,published,sentiment,sentiment_score
apple iphone sales getting boost from plain old upgrade cycle,https://finance.yahoo.com/m/6b79e347-e6d4-365d-8f3f-32fcc9163210/apple-iphone-17-sales-getting.html?.tsrc=rss,"Mon, 22 Sep 2025 14:39:49 +0000",POSITIVE,1
stock market today dow falls as apple tesla gain on these calls obesity play rockets on pfizer move live coverage,https://finance.yahoo.com/m/296bfec4-debf-3635-a8f4-e936a36cf1b0/stock-market-today%3A-dow-falls.html?.tsrc=rss,"Mon, 22 Sep 2025 14:37:00 +0000",NEGATIVE,-1
brinker apple keurig dr pepper top analyst calls,https://finance.yahoo.com/video/brinker-apple-keurig-dr-pepper-143628895.html?.tsrc=rss,"Mon, 22 Sep 2025 14:36:28 +0000",NEGATIVE,-1
wedbush hikes apple price target on hot iphone sales,https://qz.com/apple-iphone-17-pro-air-price-target-hike-wedbush-china?.tsrc=rss,"Mon, 22 Sep 2025 14:16:23 +0000",NEGATIVE,-1
apple stock has been struggling how the iphone could spark a rebound,https://finance.yahoo.com/m/1f3a3606-1178-3f20-97ad-ede648426aa7/apple-stock-has-been.html?.tsrc=rss,"Mon, 22 Sep 2025 14:08:00 +0000",NEGATIVE,-1
tesla stock rises on another price target hike record highs are in sight,https://finance.yahoo.com/m/2f36145a-c051-3e2c-b192-f6a30c727062/tesla-stock-rises-on-another.html?.tsrc=rss,"Mon, 22 Sep 2025 13:58:00 +0000",NEGATIVE,-1
apple inc aapl is attracting investor attention here is what you should know,https://finance.yahoo.com/news/apple-inc-aapl-attracting-investor-132003455.html?.tsrc=rss,"Mon, 22 Sep 2025 13:20:03 +0000",POSITIVE,1
jefferies sees a downside risk for apple amid softer iphone average selling prices,https://finance.yahoo.com/news/jefferies-sees-downside-risk-apple-113927259.html?.tsrc=rss,"Mon, 22 Sep 2025 11:39:27 +0000",NEGATIVE,-1
the question why is student debt soaring,https://uk.finance.yahoo.com/news/student-debt-loans-uk-explainer-martin-lewis-112752591.html?.tsrc=rss,"Mon, 22 Sep 2025 11:27:52 +0000",NEGATIVE,-1
catalyst dearth caps wall street prebell asia up europe off,https://finance.yahoo.com/news/catalyst-dearth-caps-wall-street-111545480.html?.tsrc=rss,"Mon, 22 Sep 2025 11:15:45 +0000",POSITIVE,1
trade outlook tech strength roil asian stock markets,https://finance.yahoo.com/news/trade-outlook-tech-strength-roil-110114801.html?.tsrc=rss,"Mon, 22 Sep 2025 11:01:14 +0000",POSITIVE,1
steve jobs once paused for seconds to answer a students simple question here is what the apple cofounder said,https://finance.yahoo.com/news/steve-jobs-once-paused-18-104603826.html?.tsrc=rss,"Mon, 22 Sep 2025 10:46:03 +0000",NEGATIVE,-1
trump tiktok immigration visas are a distraction for markets what really matters for stocks,https://finance.yahoo.com/m/4929222e-6729-3fe1-92fe-577ec70f99fe/trump%2C-tiktok%2C-immigration.html?.tsrc=rss,"Mon, 22 Sep 2025 10:43:00 +0000",NEGATIVE,-1
uk considers cutting visa fees for highly skilled as us hikes hb prices,https://uk.finance.yahoo.com/news/uk-visa-fee-immigration-trump-h-1b-prices-102533291.html?.tsrc=rss,"Mon, 22 Sep 2025 10:25:33 +0000",NEGATIVE,-1
stocks set to retreat from record highs us pce inflation data and powells remarks awaited,https://www.barchart.com/story/news/34949816/stocks-set-to-retreat-from-record-highs-u-s-pce-inflation-data-and-powells-remarks-awaited?.tsrc=rss,"Mon, 22 Sep 2025 10:08:02 +0000",NEGATIVE,-1
target announces biggest target circle week yet with deeper discounts seasonal styles member perks and exclusive product drops,https://finance.yahoo.com/news/target-announces-biggest-target-circle-100100915.html?.tsrc=rss,"Mon, 22 Sep 2025 10:01:00 +0000",NEGATIVE,-1
googles ad monopoly under microscope as judge weighs remedies,https://www.wsj.com/tech/googles-ad-monopoly-under-microscope-as-judge-weighs-remedies-71cf8d19?.tsrc=rss,"Mon, 22 Sep 2025 09:30:00 +0000",NEGATIVE,-1
experts warn of regulatory overreach at tpa webinar on global digital policy,https://finance.yahoo.com/news/experts-warn-regulatory-overreach-tpa-090000078.html?.tsrc=rss,"Mon, 22 Sep 2025 09:00:00 +0000",NEGATIVE,-1
interdigital raises third quarter outlook,https://finance.yahoo.com/news/interdigital-raises-third-quarter-outlook-083000709.html?.tsrc=rss,"Mon, 22 Sep 2025 08:30:00 +0000",POSITIVE,1
tesla stock continues to climb this catalyst makes its growth path sustainable,https://www.fool.com/investing/2025/09/22/industrials-hot-ticker-stock-continues-to-climb-bu/?.tsrc=rss,"Mon, 22 Sep 2025 07:34:00 +0000",POSITIVE,1
